using RM dataset, 
eswc model: 1,548,002
gamback: 1622702

(no filters)
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=google, norm=0, vocab=2165,oov=398
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=tw, norm=0, vocab=2165,oov=51
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=glv, norm=0, vocab=2165,oov=141
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=all, norm=0, vocab=2165,oov=44
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=google, norm=1, vocab=2291,oov=84
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=tw, norm=1, vocab=2291,oov=26
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=glv, norm=1, vocab=2291,oov=29
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/rm/labeled_data_all.csv, model=all, norm=1, vocab=2291,oov=13
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=google, norm=0, vocab=7342,oov=1952
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=tw, norm=0, vocab=7342,oov=276
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=glv, norm=0, vocab=7342,oov=749
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=all, norm=0, vocab=7342,oov=251
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=google, norm=1, vocab=8290,oov=717
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=tw, norm=1, vocab=8290,oov=60
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=glv, norm=1, vocab=8290,oov=167
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/dt/labeled_data_all_2classes_only.csv, model=all, norm=1, vocab=8290,oov=31
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=google, norm=0, vocab=5887,oov=1630
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=tw, norm=0, vocab=5887,oov=323
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=glv, norm=0, vocab=5887,oov=751
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=all, norm=0, vocab=5887,oov=303
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=google, norm=1, vocab=7172,oov=414
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=tw, norm=1, vocab=7172,oov=62
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=glv, norm=1, vocab=7172,oov=144
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w/labeled_data_all.csv, model=all, norm=1, vocab=7172,oov=39
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=google, norm=0, vocab=6430,oov=1831
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=tw, norm=0, vocab=6430,oov=383
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=glv, norm=0, vocab=6430,oov=863
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=all, norm=0, vocab=6430,oov=361
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=google, norm=1, vocab=7886,oov=489
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=tw, norm=1, vocab=7886,oov=81
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=glv, norm=1, vocab=7886,oov=173
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/w+ws/labeled_data_all.csv, model=all, norm=1, vocab=7886,oov=55
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=glv, norm=1, vocab=4163,oov=70
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-amt/labeled_data_all.csv, model=all, norm=1, vocab=4163,oov=24
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=glv, norm=1, vocab=4163,oov=70
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-exp/labeled_data_all.csv, model=all, norm=1, vocab=4163,oov=24
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/sjonnal3/Hate_Speech_Detection/Applied_Machine_Learning/chase-master/data/ml/public/ws-gb/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
